utterance,speaker,context,context_speakers,show,sarcasm
I gargled with tequila and may have swallowed a teeny bit.,SHELDON,"[""Hey, have you told your parents you're dating this short glass of skim milk here?"", ""Uh... that's different.\nFirst of all, we're not engaged; and second, Indian parents are very protective of their children."", 'Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.']","['HOWARD', 'PERSON', 'HOWARD']",BBT,False
is an event that's like a heart attack.,SHELDON,"[""Yeah, I'm saying, it'd be easier to lift a car."", 'What can I tell you? After I found the courage to put her pants back on, I was unstoppable.', 'So, how is she?', ""They're running tests-- I don't know."", 'It may have been a heart attack or heart-attack-like event.', ""What's the difference?"", 'A heart-attack-like event']","['PENNY', 'HOWARD', 'LEONARD', 'HOWARD', 'HOWARD', 'PENNY', 'SHELDON']",BBT,True
"Your girlfriend and your ex-girlfriend are hanging out together? Oh, yeah, that can only be good for you.",RAJ,"['You mean when he was little.', ""Not as little as you'd want him to be."", 'You know, this stuff is horrible.\nYou want to see if we can find the cafeteria and get real coffee? Sure.', ""We're going to the cafeteria to get some coffee. \nYou want anything?"", ""I'm fine."", ""That's nice that they're getting along.""]","['PENNY', 'PERSON', 'PENNY', 'PERSON', 'LEONARD', 'RAJ']",BBT,True
"I'd like to respond to that sarcastically: Yes, I relish the thought of a stranger covering my body with oil and rubbing it.",SHELDON,"['the organism responsible for Michelob Lite.', 'Is there something wrong with your neck?', ""It's a little stiff."", 'What a remarkably fragile structure to support such a valuable payload.', 'Not unlike balancing a Faberge egg on a Pixie Stick.', 'Have you considered massage?']","['AMY', 'AMY', 'SHELDON', 'SHELDON', 'SHELDON', 'AMY']",BBT,True
"Congratulations and welcome temporarily aboard. Here's your I.D. card, your key and your lapel pin. Which Leonard was too cool to wear.",SHELDON,"['And a living will and durable power of attorney.', 'This says you can make ""end of life"" decisions for me.', ""As your friend, let's hope it doesn't come to that. \nPlease sign."", 'Did you sign this?', ""There's a reciprocity clause.\nYou get to pull the plug on him, too."", 'Well, that seems fair.']","['SHELDON', 'RAJ', 'SHELDON', 'RAJ', 'LEONARD', 'RAJ']",BBT,True
Of course you do. You're a cutie pie! Any girl would be lucky to have you!,BERNADETTE,"['What the hell is wrong with you?!', 'Well...\nYou were always so nice to me, I thought maybe you liked me.', ""I'm nice to everyone!"", ""I'm sorry."", ""Damn right, you're sorry!"", ""And you tell Howard there's never been anything between us!"", 'I will. Hey, Bernadette?', 'What?!', 'Do you think I have a shot with Penny?']","['BERNADETTE', 'RAJ', 'BERNADETTE', 'RAJ', 'BERNADETTE', 'BERNADETTE', 'RAJ', 'BERNADETTE', 'RAJ']",BBT,False
"Oh, I could so see you being the face of hemorrhoids.",AMY,"[""It's like a waterfall of liquid gold."", 'My turn.', ""You know, I don't even know what the point of me staying in L.A. is."", ""I haven't gotten a single acting job since I moved out here."", 'The closest I came was last month, I got a callback for a hemorrhoid commercial.']","['AMY', 'AMY', 'PENNY', 'PENNY', 'PENNY']",BBT,True
"All right, so technically it's not a dinner date. I suppose you could call it a, uh, dinfast date. But if you did, you'd open yourself to peer-based mocking, such as, ""Hey, Leonard, how was your dinfast with Priya last night?""",SHELDON,"['What are you doing?', ""Oh, uh, Priya's calling in a few minutes on Skype, and we are gonna have a dinner date."", ""It's 8:00 in the morning in Mumbai. \nHow can she have dinner?"", 'Fine, whatever. \nPriya will be having breakfast.']","['SHELDON', 'LEONARD', 'SHELDON', 'LEONARD']",BBT,False
"When you're done copping a feel, that goes on my wrist.",AMY,"[""Oh, sweetie, guests don't normally wear corsages to a wedding. \nThat's more of a prom thing."", 'I never went to my prom. \nMy mom paid my cousin to take me, but he just used the money to buy drugs.', 'Put the corsage on her.', ""When you're done copping a feel, that goes on my wrist.""]","['PENNY', 'AMY', 'PENNY', 'LEONARD']",BBT,True
"Because you don't have a girlfriend? Well, good Lord, if that becomes a reason not to play Dungeons & Dragons, this game's in serious trouble.",SHELDON,"['Your movies and your TV shows promised streets paved with beautiful blonde women with big bazongas.', ""Eat another pie, you'll have your own bazongas."", ""That's cruel."", 'You know it goes straight to my hips.', 'Gentlemen, please focus.', ""You're facing a fire-breathing dragon."", ""I don't know if I want to play anymore.""]","['RAJ', 'HOWARD', 'RAJ', 'RAJ', 'SHELDON', 'SHELDON', 'RAJ']",BBT,False
Here's some other fun news on the Raj/Emily front. He gave her a pair of diamond earrings and leased her a car.,HOWARD,"['because you no longer wear underpants.', 'The dice giveth and the dice taketh away.', 'Is Raj out with Emily again?', 'Yeah, every night for the last month.', ""Wow, can't believe he has a girlfriend."", 'Me neither.']","['LEONARD', 'SHELDON', 'PENNY', 'LEONARD', 'PENNY', 'SHELDON']",BBT,False
Smart. Whisper so the deaf chick can't hear you.,HOWARD,"['Wow.', ""You're engaged to my friend."", ""Hey, Bernadette doesn't mind where I get my motor running, as long as I park in the right garage."", ""I can't believe you're engaged to my friend.""]","['HOWARD', 'PENNY', 'HOWARD', 'PENNY']",BBT,True
You just got off the list. Would you like back on it? This'll just take a moment. It's on a five and a quarter inch floppy.,SHELDON,"[""What differences does it make if Leonard goes to Wil Wheaton's party?"", ""Wil Wheaton is Sheldon's mortal enemy."", 'Mortal enemy?', ""Mm-hmm. Sheldon, I know you're a bit of a left-handed monkey wrench, but...\nyou really have a mortal enemy?"", 'In fact, I have 61 of them.', 'Would you like to see the list?', 'Oh, say no, say no, say no, say no.']","['AMY', 'PENNY', 'AMY', 'AMY', 'SHELDON', 'SHELDON', 'PENNY']",BBT,True
"You see betrayal in others, but not yourself.",SHELDON,"['What choice did I have? She went behind my back and turned my own mother against me.', ""Wow. You're not only our first astronaut.\nYou're also the first one of us to kick a girl out of bed."", ""You're like a rock star."", 'Little bit.', 'I hate to say it, but she did kind of betray you.']","['HOWARD', 'RAJ', 'RAJ', 'HOWARD', 'LEONARD']",BBT,True
I don't know what I'm going to do. I don't want to break up over this.,BERNADETTE,"[""He can't go to space."", ""He's like a baby bird."", 'Do you know he once got an asthma attack from reading an old library book?', ""You're kidding."", 'No, I was there that day.', 'Sheldon threw his back out handing him that book.']","['BERNADETTE', 'BERNADETTE', 'BERNADETTE', 'AMY', 'PENNY', 'PENNY']",BBT,False
"Frankly, Mom, I'm encouraged to see how advanced your group has become-- willing to sail out into the ocean without fear of falling off the edge.",SHELDON,"['All-you-can-eat Last Supper Buffet. \nAnd my personal favorite, Gunning with God.', ""What's Gunning with God? I'm afraid to ask."", 'Oh, it is a hoot and a half.', ""You write your sins on a clay pigeon, they fire 'em up in the air, and you pulverize them with a 12-gauge shotgun full of our Lord's forgiveness.""]","['PERSON', 'LEONARD', 'PERSON', 'PERSON']",BBT,True
"We don't say that, either. I'll make you a list. Oh, that would be mighty white of you.",LEONARD,"['Three, sadly, are dead.', 'Mom, you remember Rajesh?', 'Rajesh, my mother. Of course.', 'Mrs. Cooper. So nice to see you again.', ""Well, it's so nice to see you, too."", 'I thought it was our Indians that had the occasional alcohol problem.']","['RAJ', 'SHELDON', 'SHELDON', 'RAJ', 'PERSON', 'PERSON']",BBT,False
"So, this spring, I get to go to the International Space Station. Oh, my word, a trip to the heavens.",HOWARD,"[""Now I'm going out tonight. Would it be crazy to ask you to look at the outfit I'm going to wear?"", ""Oh, not crazy at all.\nAnd don't beat yourself up."", 'When I was your age, you could have me for a car ride and a bottle of strawberry wine.', ""That will not be in this week's e-mail blast.""]","['PENNY', 'PERSON', 'PERSON', 'SHELDON']",BBT,False
"No, I'm just allergic to people who get Nobel Prizes for no good reason.",SHELDON,"['That lecture was a waste of time.', 'I made more accurate diagrams of the expansion of the early universe on the nursery wall with the contents of my diaper.', 'Are you getting sick?']","['SHELDON', 'SHELDON', 'AMY']",BBT,True
"Yes, there's nothing quite like the slightly widened eyes of mildly startled.",SHELDON,"['Okay, all right.', 'That one was clever.', 'Skeleton with phosphorous on a zip line.', 'Come on out, merry pranksters.', 'Take a bow.', ""You should've seen your face.""]","['SHELDON', 'SHELDON', 'SHELDON', 'SHELDON', 'SHELDON', 'RAJ']",BBT,True
You have a thing of paper clips right there.,RAJ,"[""It is, isn't it?"", '(gasps) Oh, bother.', ""Isn't that just always the way? \nYou go to staple something, and you're out of staples."", ""Gosh, I wish I'd known that earlier today when I was at Staples.""]","['SHELDON', 'SHELDON', 'SHELDON', 'SHELDON']",BBT,False
"Oh, my God, that's where I know you from.",PENNY,"['Yeah, sure, come on in.', 'Thanks.', 'Want some mac and cheese?', 'No. Lactose. Gas.', 'Glass of wine?', 'No. Sulfites. Migraines.', ""Okay, well, I'd offer you Halloween candy, but that's gone."", ""So, what's up?"", 'Okay, we used to go out, right?']","['PENNY', 'LEONARD', 'PENNY', 'LEONARD', 'PENNY', 'LEONARD', 'PENNY', 'PENNY', 'LEONARD']",BBT,True
"No. You mean this was all a ruse? Oh, how could I be so stu...",SHELDON,"[""Oh, no! I can't!"", ""Hurry! \nWe're running out of time!"", '- Okay.', 'Just do it!', 'Oh, God!\nOne... two...\nthree!', 'Trick or treat, bubbeleh.', 'What?\n(laughing)']","['SHELDON', 'BERNADETTE', 'SHELDON', 'BERNADETTE', 'SHELDON', 'HOWARD', 'SHELDON']",BBT,False
"Well, if you don't mind looking like an orange traffic cone, great.",BERNADETTE,"['So, Bernadette, how goes the hunt for bridesmaid dresses?']",['PENNY'],BBT,True
"said horrible things about each other in public... all in all, a pretty magical night.",LEONARD,"['Okay. So... we went out, saw a movie, met some nice people,']",['LEONARD'],BBT,True
"Oh, of course he is. She's very interesting. Did you know, when she was 14, she severed the webbing between her own toes?",SHELDON,"['consider changing disciplines.\nYeah, to the humanities-- perhaps history.', ""One of the advantages of teaching history is that you don't have to create things."", 'You know, you just have to remember stuff that happened and then parrot it back.', 'You could have fun with that.', ""Yeah, that's not it."", ""Stuart's kind of interested in Amy.""]","['SHELDON', 'SHELDON', 'SHELDON', 'SHELDON', 'LEONARD', 'LEONARD']",BBT,True
"You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there.",SHELDON,"['No, that was a different, different guy.', 'Was he the one who used your head to open a nut?', 'Oh, oh, oh.', 'Was he the one who made you eat your arm hair?', ""No, but, actually, that was this guy's sister."", 'All right, well, what do you think he wants?', ""I don't know.""]","['LEONARD', 'SHELDON', 'SHELDON', 'SHELDON', 'LEONARD', 'PENNY', 'LEONARD']",BBT,True
Hmm. That's too bad. We could have spent New Year's Eve waiting for the ball to drop.,PENNY,"['Oh, oh, oh.', 'Was he the one who made you eat your arm hair?', ""No, but, actually, that was this guy's sister."", 'All right, well, what do you think he wants?', ""I don't know."", 'You know, the holidays are just around the corner.', 'Maybe he wants to see if he can lodge the other testicle up there.', 'I told you. That was a different guy.']","['SHELDON', 'SHELDON', 'LEONARD', 'PENNY', 'LEONARD', 'SHELDON', 'SHELDON', 'LEONARD']",BBT,True
Sure. You want to see what all the scientists are wearing this year.,LEONARD,"[""It's 2:00 a.m. What are you doing up?"", 'Nobel Prize acceptance ceremony streaming live from Stockholm.']","['LEONARD', 'SHELDON']",BBT,True
You'd think a winner could make a decent cup of cocoa.,SHELDON,"['Then take away his keys and make him wander the streets with the other drunks.', 'You remember Sheldon and Raj and Howard.', 'Not really, no.', ""It's funny, huh, Leonard?"", ""Back in school, I was the winner and you were the loser.\nAnd now we're reversed."", ""You're the winner.""]","['SHELDON', 'LEONARD', 'PERSON', 'PERSON', 'PERSON', 'PERSON']",BBT,True
"Oh, I see why you're confused. No, her news sounded important, but what you're forgetting is, it was an achievement in the field of biology. That's all about yucky, squishy things.",SHELDON,"[""It's probably a euphemism for urination."", 'Sheldon, what is wrong with you?', 'Not much. Although, I can be faulted for being overly fond of koala bears.', ""I don't know what it is, when they smart munching on eucalyptus, I just melt inside."", 'Okay, Amy just told you some exciting news, and you acted like it was no big deal.']","['SHELDON', 'PENNY', 'SHELDON', 'SHELDON', 'PENNY']",BBT,True
"No, but maybe she wants a man with a pocket watch.",SHELDON,"[""I don't think there's anything in this jewelry store that Amy would appreciate more than the humidifier we were just looking at at Sears."", 'Oh, my God, now I know what I sound like to you when I say stupid stuff.', 'Ooh, a pocket watch.', ""Okay, I don't think Amy wants a pocket watch.""]","['SHELDON', 'PENNY', 'SHELDON', 'PENNY']",BBT,False
"Well, yeah, sex with you is pretty great. Have you ever tried it?",LEONARD,"['That was a really nice dinner.', ""I'm glad you asked me out again."", 'Me, too; I missed you.', 'You see me all the time.', ""You sure you just don't miss the sex?""]","['PENNY', 'PENNY', 'LEONARD', 'PENNY', 'PENNY']",BBT,False
"Well, that wady took high-wes pictures of my junk wast night for Cwaigswist.",PERSON1,"['(chimes) Wisten to me.\nNot westauwant; westauwant.', '(chimes) I don\'t know what you mean by ""not westauwant; westauwant.""', 'See? Total cwap.\nYou suck, Siwi.', ""Hey, don't talk to her like that. \nShe's a lady.""]","['PERSON1', 'PERSON2', 'PERSON1', 'RAJ']",BBT,False
You mean for a person whose neck massages feel like an eagle is trying to carry you to its nest?,LEONARD,"['This is amazing.\nHow did you even get this idea?', 'I called your dad.\nI asked him what things you liked to do when you were a kid.', 'This seemed easier than getting a cow out here so you could tip it.', ""Okay, you're kind of really great.""]","['PENNY', 'LEONARD', 'LEONARD', 'PENNY']",BBT,True
"Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash.""",HOWARD,"['Buzz Lightyear is not real.', ""No, that's not what I'm talking about."", 'Well, are you talking about when he thought he was real?', 'No', 'Okay, um... how about ""Crash""? \nHoward ""Crash"" Wolowitz.']","['RAJ', 'HOWARD', 'RAJ', 'HOWARD', 'RAJ']",BBT,True
Maybe that's because I'm not being challenged. It's the same reason Einstein failed math.,SHELDON,"[""And I'm super smart, so it's probably true."", ""Hey, I've been training in the field of neurobiology for 12 years."", ""You've been here for three hours, and you've spent one of them in the bathroom."", ""I'm sorry! It takes me a while to get things going on an unfamiliar toilet."", ""Sheldon, I've given you the simplest things to do, and you haven't done one of them right.""]","['SHELDON', 'AMY', 'AMY', 'SHELDON', 'AMY']",BBT,False
"Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.",AMY,"['All right.', ""I'm no stranger to a little gray matter."", 'Locus coeruleus.', 'Locus coeruleus.', ""You're getting warmer-- it is, indeed, in the brain.""]","['SHELDON', 'SHELDON', 'SHELDON', 'SHELDON', 'AMY']",BBT,True
"Oh, screw her. She's just lucky we let her hang out with us.",AMY,"['The painting is a constant reminder that of the three of us, she is the least cool.', ""Yeah, that's... that's what it is, so..."", 'You have such a good heart.', 'Yeah... I try.', 'Come on.', 'Whoa, whoa, where are we going?', ""We're going to go put this painting back up in your apartment."", 'Well, what about Bernadette?']","['AMY', 'PENNY', 'AMY', 'PENNY', 'AMY', 'PENNY', 'AMY', 'PENNY']",BBT,False
"I'm sorry, it's the bad boy attitude that comes with this hair.",SHELDON,"[""You know, Sheldon, I used to cut my brother's hair. \nI could do it for you."", 'Penny, I know you mean well, offering the skills of the hill folk, but, um,', ""here in town, we don't churn our own butter, we don't make dresses out of gunny sacks, and, uh, we sure as shootin' don't get our hair cut by bottle-blonde..."", 'Sheldon, be nice.']","['PENNY', 'SHELDON', 'SHELDON', 'LEONARD']",BBT,False
"Also instead of just living in your mother's house, you could actually live inside her body.",LEONARD,"['Wrong. Leonard?', 'Horse, but mostly just for the height.', 'A little bit for the genital girth.', ""Wrong, and let's keep it clean, shall we?"", ""Kangaroo, uh, I'd be Kanga-Jew."", 'The first of my people to dunk a basketball.']","['SHELDON', 'LEONARD', 'LEONARD', 'SHELDON', 'HOWARD', 'HOWARD']",BBT,True
"...to all the good times we had, like, uh, when we went camping and spent that night telling each other all our secrets. I told him I'm addicted to pedicures and he told me he lost his virginity to his cousin.",RAJ,"['This man became my whole world.', 'Yeah, nice speech, Francine.', ""I'm not done, but thank you."", 'I think back....']","['RAJ', 'PERSON', 'RAJ', 'RAJ']",BBT,False
"How about you? Did you have a fun night? Yeah, we, uh, made gift bags, had wine, and then went online and saw this.",HOWARD,"['after you had a snootful of this, laddie!', 'Funny.', 'You boys have a nice time?', 'Yeah, it was great.', 'Low-key, like I promised. \nNo hanky-panky, no strippers.\nJust the guys telling jokes.', ""That's nice.""]","['HOWARD', 'BERNADETTE', 'BERNADETTE', 'HOWARD', 'HOWARD', 'BERNADETTE']",BBT,True
"Not exactly. Listen, if you don't mind, I'm not really up for chatting. I'm just going to sit here quietly and let my life flash before my eyes.",HOWARD,"['and she makes me Froot Loops.', 'Go with gay story, people are more accepting of that.', 'Actually, Froot Loops just got married to a girl.', 'Congratulations.', 'Thanks, we decided to do it before the launch.', 'You and Mrs. Loops have a big wedding?']","['HOWARD', 'PERSON1', 'PERSON2', 'PERSON1', 'HOWARD', 'PERSON1']",BBT,False
"Darn. If you weren't busy, I'd ask you to join us.",SHELDON,"['""Release the Kraken."" That never gets old.', '""Release the Kraken!"" Oh, chills.', ""Besides, I'm having dinner with Amy."", ""Oh, okay. I'll just go home and be alone."", 'W-Which is cool.\nI eat alone, I sleep alone, I cry alone, so...\nCool.']","['SHELDON', 'SHELDON', 'SHELDON', 'RAJ', 'RAJ']",BBT,True
I am talking to a man in space. If you don't have the (walkie-talkie static) then he might as well be at the Coffee Bean over on Lake Street.,SHELDON,"['You know, joking, kidding around, hurting feelings.', 'Okay, my turn. \nLet me talk to him.', 'Go ahead.', '2311 North Los Robles Avenue, Pasadena, California to International Space Station.\nCan you read me? Over.', '(imitates walkie-talkie static) Yes, I read you, Sheldon.', 'Copy that. Over. (imitates walkie-talkie static)', 'What are you doing?']","['HOWARD', 'SHELDON', 'LEONARD', 'SHELDON', 'HOWARD', 'SHELDON', 'LEONARD']",BBT,False
I'm starting to get a sense of it.,LEONARD,"[""My tongue won't go as far forward as it used to."", 'Maybe your tongue is shrinking.', 'Nope.', 'Oh, you have no idea how annoying this is.']","['SHELDON', 'LEONARD', 'SHELDON', 'SHELDON']",BBT,True
"Well, if that's all it takes, it's a good thing you don't have a dog.",AMY,"['You slept with him?', ""I didn't know what else to do.\nHe had those big, sad eyes."", 'Oh, sure, you had no choice.', 'He looked at me like this.']","['AMY', 'PENNY', 'BERNADETTE', 'PENNY']",BBT,True
"Of course, it is... it's been in the news. And it's a very famous boson.",PENNY,"['There are some charts in the back where I kept track of shape, color and consistency.', 'Disgusting.', ""No, what's disgusting is he's still keeping track."", 'Why do you need all this stuff...?', 'No, no, no, no... Sorry!', 'I am glad you asked.', 'Yeah, are you familiar with the Higgs boson?']","['SHELDON', 'PENNY', 'LEONARD', 'PENNY', 'LEONARD', 'SHELDON', 'SHELDON']",BBT,False
I didn't know they gave Nobel prizes for making boom-boom in the potty.,LEONARD,"['the paper was rejected, but recently, he was proven right.', ""And now he's on the fast track to win a Nobel prize."", ""Yeah, that's basically what I said."", 'The point is Higgs is being celebrated for work he did 50 years ago, so that got me thinking,', ""perhaps I've already hit upon the idea that will win me my Nobel prize.""]","['SHELDON', 'SHELDON', 'PENNY', 'SHELDON', 'SHELDON']",BBT,True
"The original title was ""A Rederivation of Maxwell's Equations Regarding Electromagnetism"""" I dumbed it down because some of the more religious people in town were starting to say I was a witch.",SHELDON,"['This will interest you. And, Penny, feel free to paint your nails.', 'What do you got?', 'I believe Alex may have unearthed the grade school science project that could be my ticket to the Nobel Prize.', 'Behold.', '""Magnets: What Do They Stick To?"" If the answer is ""metal,"" it\'s not exactly groundbreaking.']","['SHELDON', 'LEONARD', 'SHELDON', 'SHELDON', 'LEONARD']",BBT,False
We've kind of been involved in a five-year experiment.,PENNY,"['in town were starting to say I was a witch.', 'Sheldon thinks the approach in this paper might change the way we calculate ferromagnetic hysteresis.', ""Oh, it's about time. I hated the old way."", ""Hi. I'm Penny."", 'Alex.\nUh, do you work with Dr. Hofstadter?', 'In a way.']","['SHELDON', 'PERSON', 'PENNY', 'PENNY', 'PERSON', 'PENNY']",BBT,False
My limbic system wants to take your pants off.,PENNY,"['Uh, do you work with Dr. Hofstadter?', 'In a way.', ""We've kind of been involved in a five-year experiment."", ""Oh. Well, you're lucky. He seems very talented.\nAnd I'm sure a lot of people want to work with him."", ""Well, a lot of people can't."", 'Uh, hey.', 'Where are we going?']","['PERSON', 'PENNY', 'PENNY', 'PERSON', 'PENNY', 'PENNY', 'LEONARD']",BBT,False
"Okay, the NASA Web site says Howard's final descent has begun.",RAJ,"[""or Leonard's gym membership."", ""We're not kicking him out. \nStuart and I have become good friends."", ""Okay, one vote for, one vote against.\nLeonard, you're the tiebreaker."", ""I don't have a problem with Stuart.\nBesides, he gives us a 20% discount at his comic book store."", ""Well, I don't sell my friendship that cheaply."", 'I can go 30.', 'Welcome aboard, old chum.']","['SHELDON', 'RAJ', 'SHELDON', 'LEONARD', 'SHELDON', 'PERSON', 'SHELDON']",BBT,False
"Yeah, well, Bernadette's a little under the weather and my mom's kind of under my dentist.",HOWARD,"['Oh, look at you.\nYou, you look like you grew.', ""Yeah.\nThe lack of gravity did decompress my spine, so I'm like an inch and a half taller."", ""I'm going to the DMV tomorrow to get my license changed before I shrink back."", 'Oh, uh, come in, come in.', ""Oh, I, uh, I didn't think I was going to get to see you until tomorrow.""]","['RAJ', 'HOWARD', 'HOWARD', 'RAJ', 'RAJ']",BBT,False
"It's okay, you know, we space cowboys don't do what we do for glory and fame. We leave that to your rock stars and your athletes and your Howie Mandels.",HOWARD,"[""Yeah, well, Bernadette's a little under the weather and my mom's kind of under my dentist."", 'Wait, your, your mother is sleeping with your dentist?', 'Former dentist.\nI need a new one now that I know where his hands have been.', ""So you're wandering all around by yourself?\nThat's not the kind of hero's welcome an astronaut should come home to.""]","['HOWARD', 'RAJ', 'HOWARD', 'RAJ']",BBT,False
that sounds a little funny to an American ear.,PERSON,"['Wow, so you guys are like buds now?', 'Oh, yeah, we hang out all the time.', ""Plus, he doesn't have a girlfriend, I don't have a girlfriend."", ""It's like we both had these holes in our lives, but now we fill each other's holes.""]","['HOWARD', 'RAJ', 'PERSON', 'RAJ']",BBT,False
"""To Stuart, your comic book store is out of this world. Just like the guy in this picture was.""",PERSON,"['Oh, hey, Stuart, I got you a little souvenir from my trip to space.', ""Well, Howard, that's very nice of you."", 'Yeah, maybe. Open it first.', ""It's my official NASA portrait.""]","['HOWARD', 'PERSON', 'LEONARD', 'HOWARD']",BBT,False
"You're right, the party's fantastic. Please, tell me more. I haven't heard enough about it all week because hearing about that never gets old!",HOWARD,"['It was a compromise. I lost.', ""Can you believe Stuart's walking around taking credit for this party?"", 'Who cares?', 'What do you mean ""who cares""? Look at what I pulled off here.\nThe deejay\'s on fire, there\'s a Tardis photo booth in the back room, and, oh, my God, the food!', 'Stuart wanted Kraft Draculoni and cheese.']","['SHELDON', 'RAJ', 'HOWARD', 'RAJ', 'RAJ']",BBT,True
"Amy, I can't just ask Wil Wheaton to leave. He's a minor celebrity. Once you explain who he is, many people recognize him.",SHELDON,"['What do you think?', 'Can I speak to you for a second?', ""I'll be right back."", 'Feel free to play with yourself.', ""I don't care for your friend, he's being rude to me."", 'You need to ask him to leave.']","['SHELDON', 'AMY', 'SHELDON', 'SHELDON', 'AMY', 'AMY']",BBT,False
"She was just so sad all the time. Yeah, I was the only person who could cheer her up. Well, me and Ben and Jerry.",HOWARD,"[""You are now the only woman in my life who I'll see naked in the bathroom."", ""I know this wasn't easy.\nYou doing okay?"", ""Oh, I'm fine.\nIt's just her I'm worried about."", ""Aw, she'll be okay.\nShe's a grown woman."", ""I know. \nIt's just ever since my dad left, I've felt responsible for her."", ""That's a lot for a kid to deal with.""]","['HOWARD', 'BERNADETTE', 'HOWARD', 'BERNADETTE', 'HOWARD', 'BERNADETTE']",BBT,False
"Yeah, that was five weeks ago. How much longer is he gonna milk that cow?",SHELDON,"['There it is again.\nDo you kiss your mother with that mouth?', ""Oh, well, I'm sorry for your loss.\n- Oh! - Good night, sir."", ""Unbelievable.\nHe says Wolowitz deserves my spot because he's a high-profile asset to the university."", ""Well, he's not wrong.\nHoward did go to the International Space Station.""]","['SHELDON', 'SHELDON', 'SHELDON', 'LEONARD']",BBT,False
"Anyway, to this day, I still can't see a box of crayons without crossing my legs.",PENNY,"['Damn.', ""Well, at least when we do make love, Sheldon won't be thinking about his mother."", ""And yes, that is a cleverly veiled reference to Howard's lifelong obsession to crawl back into her spacious womb.""]","['PENNY', 'AMY', 'AMY']",BBT,False
Exactly what it was half an hour ago. It's like you're not even trying to get better.,SHELDON,['(thermometer beeps) 102.2.\n(coughs)'],['SHELDON'],BBT,True
I did. The guy at the liquor store said this stuff tastes great in coffee.,RAJ,"['Do you really think you should be drinking right now?', 'How else am I supposed to talk to the Human Resources lady?', ""I don't know. Seek professional help?""]","['HOWARD', 'RAJ', 'HOWARD']",BBT,False
"Come on, let's just start walking. There's got to be a gas station or something nearby.",LEONARD,"['What if we were to get in a car with a crazy person?', ""Look at us, Sheldon.\nWe're the crazy people."", 'Well, perhaps we should hold up a sign that assures passing motorists of our mental competence.', ""Good idea.\nWhy don't you get started on that?""]","['SHELDON', 'LEONARD', 'SHELDON', 'HOWARD']",BBT,False
Why don't you ask Scotty to beam you up?,PERSON,"['Hello.', 'Uh, four glasses of water, please.', 'Anything for you guys?', 'Can I use your phone? \nOur car got stolen.']","['SHELDON', 'SHELDON', 'SHELDON', 'LEONARD']",BBT,True
"No, just me, her and a couple of the big wigs. It's part of a bonus she got.",HOWARD,"['Here you go.', 'Great. Come on in.', ""What, you don't say thank you?"", ""It's my suitcase.\nI lent it to you two years ago."", 'Well, then, I should tell you I broke the wheel and the handle.', ""So, is everyone from Bernadette's company going to Vegas?""]","['RAJ', 'HOWARD', 'RAJ', 'HOWARD', 'RAJ', 'RAJ']",BBT,False
"Dumped her? What, did he use a forklift?",RAJ,"['to rebrand the stuff as a cure for constipation.', 'Way to make lemonade.\nYou know, from around the corner where fudge is made.', 'Hey, I got a favor to ask.', 'Sure.', ""My mom's been kind of an emotional wreck since that dentist she was dating dumped her.""]","['HOWARD', 'RAJ', 'HOWARD', 'RAJ', 'HOWARD']",BBT,True
Like Burt and Ernie. You guys even teach me stuff about words and numbers.,PENNY,"['I swear, that man is the most egotistical, insufferable human being I have ever met.', 'Yeah, but you two make such a cute couple.']","['LEONARD', 'PENNY']",BBT,True
"Trust me, you're not Jewish. That's how they get you.",HOWARD,"['Rajesh!\nYou up?\nYou ready for breakfast?', 'Oh, boy. Breakfast.', 'Okay, Raj, listen to me.\nYou need to get out of there.', 'But I have a cream sherry hangover and I smell blintzes.', ""If you don't leave now, she'll use food and guilt to keep you there for the rest of your life."", 'Oh, Howard, stop.']","['PERSON', 'RAJ', 'HOWARD', 'RAJ', 'HOWARD', 'RAJ']",BBT,False
"Yeah, I'm really looking forward to it. In fact, there's no place I would rather be than here.",PERSON,"[""It's nice that all the people who are lonely on Valentine's Day can come here tonight and be together.""]",['RAJ'],BBT,True
And I'm cool with surprises. But nothing on a Jumbotron. I don't want to cry on a big screen like that.,LEONARD,"['But if someday you decide you want to get married, you have to propose to me.', 'Really?', ""Yes. It's all on you."", 'But I got to tell you, when the time comes, I want the whole nine yards.', 'I want you down on one knee, flowers.\nI want to be swept off my feet.', 'Yeah, you got it.']","['LEONARD', 'PENNY', 'LEONARD', 'LEONARD', 'LEONARD', 'PENNY']",BBT,False
We could go to Red Lobster and talk about it. We're all thinking it. I just had the decency to wait for him to leave.,BERNADETTE,"['The surf and turf sounds good.\nSee if they corn on the cob.', ""Guys!\nWe're trying to get him out of here, not you in."", ""You're wasting your time.\nJust please, leave me alone."", 'Now what?', ""I don't know.""]","['LEONARD', 'BERNADETTE', 'RAJ', 'HOWARD', 'LEONARD']",BBT,False
